pLI,wSL/C,outs_when_up,bat_speed,break_length_deprecated,wKN (pi),botStf,SC-Z (sc),Pace,Cent%+,LOB%,# 1-10%,max_ev,Stf+ FA,SI-Z (sc),SwStr%,FIP-,post_bat_score,favor_home,Stf+ CU,HR/FB%+,BIP-Wins,p_throws,Pitching+,FA-X (pi),rSZ,Contact%,CHv,Zone% (pi),fld_score,OBP+,SI-Z (pi),LOB%+,E-F,H,home,vFA (pi),sz_bot,CU-X (sc),-WPA,vFC (sc),post_fld_score,wFS (sc),AVG+,BA,home_team_runs,barrels_batted_balls_percentage,SB-Z (pi),EP-X (sc),vSI (sc),RPP,vXX (pi),O-Contact% (sc),wCH/C (pi),vCU (pi),TZ,Strikes,Pit+ SL,FB%+,consistency,wSC (sc),fielder_9,PU,Pit+ FA,woba_denom,player_name,CT%,feature2,wCT/C,StL,Balls,SI-X (pi),H/9,HR,SI-X (sc),air_density_index,FC-Z (sc),SO/W,BB/9,wKN (sc),FDP-Wins,accuracy,if_fielding_alignment,wRC,wSI (sc),Plays,ER,wKN/C (pi),wXX/C (pi),Loc+ KC,pfx_x,Swing%,correct_calls_above_expected,Contact% (pi),HLD,Range,# 40-60%,wSL/C (pi),FSR,batted_ball_events,game_type,average_distance,Season,Scp,wFC/C (sc),Zone%,botCmd FC,BIZ,wKN/C,spin_axis,Events,# 10-40%,vFS (sc),BK,Contact% (sc),Cent%,correct_calls,BsR,actual_homers,3B,DPR,Pit+ CH,ay,IDfg,vSL (pi),pfx_z,strikes,Loc+ CU,ax,SF%,SB-X (pi),on_3b,wSL,expected_accuracy,SF,wSB (pi),# 90-100%,W,FT% (sc),umpire,Stf+ FS,total_barrels,expected_homers,GB/FB,Pit+ FS,wCU/C (sc),Team,OAA,LD%,Relieving,GB,wKC/C (sc),pitch_number,home_runs,UZR/150,Pace (pi),FB%,FO-X (sc),Barrels,Age,Loc+ FS,Clutch,xFIP-,strikeouts,iso_value,K/9,FO-Z (sc),TTO%,CTv,Stf+ KC,des,hit_distance_sc,FA% (pi),vSB (pi),botOvr KC,SH,wSI/C (sc),SL%,wFC/C (pi),KC-X (sc),IP,# 0%,SL-Z (sc),estimated_woba_using_speedangle,OOZ,botCmd,wCU (pi),wCH/C,wFS/C (pi),swing_length,CU-X (pi),botERA,wOBA,xwOBA,FE,wFS (pi),SO9,SL-X (sc),wCH (sc),SB% (pi),UN% (sc),UBR,away_team,wFT/C (sc),FA-X (sc),TBF,delta_run_exp,hard_hit_95mph+,TZL,wEP (sc),IFFB,wFC (sc),HBP,hc_x,SFv,CS-Z (pi),fielder_6,WHIP+,fielder_2,K%+,fielder_4,DPS,vEP (sc),wSF/C,IFH,Oppo%,WP,wCT,balls,vCS (pi),CU-Z (sc),FC-X (pi),away_score,Soft%+,vKC (sc),sz_top,RS,estimated_ba_using_speedangle,40-60%,CH-X (sc),events,Stf+ FC,FC-Z (pi),fielder_2.1,wSB,game_year,Hard%+,wFO (sc),ground_ball_ev,id,vx0,botCmd FS,K/BB+,rGDP,rPM,Pit+ SI,botOvr SI,FT-X (sc),Def,Loc+ FO,LD%+,REW,xSLG,CH-Z (pi),inning,Loc+ FC,RAR,Swing% (sc),effective_speed,SLv,on_1b,Bat,Relief-IP,CH-X (pi),FB,FBv,botStf FC,RE24,O-Contact% (pi),LOB-Wins,botCmd CU,vCU (sc),wFB,Starting,wRC+,KN%,release_spin_rate,zone,WPA/LI,ERA-,wCS (pi),SIERA,FP,FS-Z (pi),xBA,BF,EP% (sc),CH% (sc),vy0,home_team,EP-Z (sc),fielder_7,CPP,# 60-90%,hard_hit_swing_percentage,Pit+ KC,incorrect_calls,Z-Swing%,description,launch_speed_angle,WAR,60-90%,F-Strike%,hard_hit_percentage,wGDP,L,release_extension,inLI,GDP,BAbip,Name,wFT (sc),BUH,CH-Z (sc),wSF,G,botStf FS,vCH (pi),IFFB%,wKC (sc),Fld,CB%,rCERA,wFA (pi),vFA (sc),CSW%,BB/9+,Lg,DPF,pitch_name,Soft%,SB,wRAA,Pull%,wCB,wFA/C (pi),SI% (sc),FA% (sc),tfs_deprecated,HR/9+,babip_value,KN% (sc),tfs_zulu_deprecated,CStr%,botOvr CH,Pit,KC% (sc),Z-Contact%,RngR,botOvr FA,SL-Z (pi),FIP,launch_angle,K/9+,EV,release_pos_z,TE,maxEV,Stf+ FO,az,Hard%,SL% (sc),barrels_plate_appearance_percentage,fielder_3,DPT,fielder_5,botOvr CU,type,botCmd FA,OBP,1B,FC% (pi),ISO,botStf CU,DRS,WHIP,bb_type,PA,botOvr FS,CS-X (pi),SLG+,average_ev,rSB,DP,KC-Z (sc),tERA,FC-X (sc),wSB/C (pi),BS,+WPA,HardHit%,Loc+ SL,Spd,away,AB,KN% (pi),90-100%,OPS,wKN,Stf+ SI,BABIP+,Oppo%+,IFH%,RS/9,max_distance,wCU (sc),bat_score,batter,HR/FB,WPA,CU% (sc),K-BB%,average_homerun,wSI (pi),exLI,KN-Z (sc),gmLI,botStf FA,ISO+,botxRV100,FO% (sc),wCH/C (sc),ErrR,total_run_impact,2B,PO%,Inn,L-WAR,Dollars,CBv,inning_topbot,post_home_score,SI% (pi),HardHit,Rep,game_pk,rank,wKN/C (sc),player,pitcher,Pit+ FC,Age Rng,BB,wCH,KN-Z (pi),wXX (pi),Dol,10-40%,Off,CU-Z (pi),UZR,CH%,Stf+ CH,of_fielding_alignment,botOvr SL,FA-Z (pi),stand,Med%,wCU/C (pi),sweet_spot_percentage,wSL (pi),O-Contact%,FS-X (sc),year,BB/K,on_2b,XX-Z (pi),H/9+,botOvr FC,Loc+ SI,woba_value,target,CG,SO,vKN (pi),StS,MD,botStf SI,wFC (pi),R,date,botOvr,rARM,break_angle_deprecated,Loc+ FA,GS,SC% (sc),botCmd SL,rTS,pitcher.1,O-Swing% (sc),FA-Z (sc),vz0,Z-Contact% (sc),A,wSI/C (pi),vFT (sc),away_team_runs,GB%+,vSL (sc),ShO,wFO/C (sc),Str,PO,Barrel%,SLG,Pitches,vFC (pi),O-Swing%,Tm,botStf KC,accuracy_above_expected,CS,release_pos_y,wSL (sc),Z-Contact% (pi),LD,wCB/C,wEP/C (sc),Pulls,botCmd KC,Pit+ FO,wFA/C (sc),ballpark,Lev,#days,Pos,Stuff+,vCH (sc),E,wSL/C (sc),release_speed,post_away_score,fielder_8,CS% (pi),SV,LA,wCS/C (pi),botCmd SI,Stf+ SL,FS% (pi),SD,pitches_called,at_bat_number,Location+,IBB,SL-X (pi),SC-X (sc),RZR,wSC/C (sc),wFA (sc),botStf SL,BB%,Pull%+,wFS/C (sc),expected_correct_calls,kwERA,XX-X (pi),plate_x,BU,spin_rate_deprecated,wFB/C,expected_incorrect_calls,O-Swing% (pi),RA9-WAR,phLI,KNv,vSI (pi),launch_speed,plate_z,Zone% (sc),Loc+ CH,Swing% (pi),K%,game_date,pitch_type,feature1,GB%,1-10%,FB% (Pitch),Z-Swing% (pi),Pit+ CU,FC% (sc),xFIP,altitude,mlbID,xERA,vKN (sc),ERA,K/BB,hit_location,fly_ball_line_drive_ev,CU% (pi),rGFP,wCH (pi),FT-Z (sc),HR/9,PH,FS% (sc),KN-X (sc),spin_dir,Z-Swing% (sc),botStf CH,botCmd CH,sv_id,XX%,vFO (sc),FS-Z (sc),delta_home_win_exp,Med%+,vSC (sc),BABIP,vFS (pi),CH% (pi),home_score,hc_y,PB,XX% (pi),SL% (pi),0%,RBI,release_pos_x,KN-X (pi),BB%+,Start-IP,FB% 2,AVG,FRM,BUH%,ARM,FS-X (pi),LD+%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,,,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,155,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,691,,,,,,,,,,,,,,,,,615,,,0.886,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,0.546,,,,,,,2,,,,,,,,,,,,,2793,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,8,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286,,,,,,,,21,,,,,,,,,,,,,,,,,19,,,0.549,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,0.263,,,,,,,0,,,,,,,,,,,,,2794,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,,,,,,,,,2888,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,68,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.339,,,,,,,,165,,,,,,,,,,,,,,,,,143,,,0.864,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,0.525,,,,,,,1,,,,,,,,,,,,,2792,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,134,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329,,,,,,,,499,,,,,,,,,,,,,,,,,461,,,0.786,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,0.458,,,,,,,1,,,,,,,,,,,,,2792,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,46,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302,,,,,,,,172,,,,,,,,,,,,,,,,,153,,,0.714,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,0.412,,,,,,,0,,,,,,,,,,,,,2792,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,,,,,,,,,2953,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,6,,,,,,,,,,,,,,,,,5,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,0,,,,,,,,,,,,,2884,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,3,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,,,,,,,,,2968,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,90,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,366,,,,,,,,,,,,,,,,,333,,,0.668,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,0.357,,,,,,,3,,,,,,,,,,,,,2819,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,150,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297,,,,,,,,608,,,,,,,,,,,,,,,,,552,,,0.795,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,0.498,,,,,,,5,,,,,,,,,,,,,2792,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,100,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,337,,,,,,,,,,,,,,,,,299,,,0.728,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,0.388,,,,,,,7,,,,,,,,,,,,,2792,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,155,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.362,,,,,,,,706,,,,,,,,,,,,,,,,,619,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,0.428,,,,,,,5,,,,,,,,,,,,,2792,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,,,,,,,,,,2887,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,10,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261,,,,,,,,23,,,,,,,,,,,,,,,,,23,,,0.609,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0.348,,,,,,,0,,,,,,,,,,,,,2847,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
